gene,cell_type,n_cells,n_expressing,pct_expressing,mean_expression
AKT3,Astrocyte,,,,977.35
AKT3,Endothelial,,,,1367.9
AKT3,Excitatory Neuron,,,,849.36
AKT3,Inhibitory Neuron,,,,610.26
AKT3,Microglia,,,,954.9
AKT3,OPC,,,,833.55
AKT3,Oligodendrocyte,,,,712.7
AKT3,Pericyte/Vascular,,,,1021.8
C2orf80,Astrocyte,,,,3.2
C2orf80,Endothelial,,,,1.1
C2orf80,Excitatory Neuron,,,,35.36
C2orf80,Inhibitory Neuron,,,,24.7
C2orf80,Microglia,,,,1.7
C2orf80,OPC,,,,31.05
C2orf80,Oligodendrocyte,,,,1.4
C2orf80,Pericyte/Vascular,,,,2.75
CDKN2A,Astrocyte,,,,1.1
CDKN2A,Endothelial,,,,2.4
CDKN2A,Excitatory Neuron,,,,0.63
CDKN2A,Inhibitory Neuron,,,,1.5
CDKN2A,Microglia,,,,28.1
CDKN2A,OPC,,,,5.45
CDKN2A,Oligodendrocyte,,,,5.5
CDKN2A,Pericyte/Vascular,,,,0.2
CDKN2B,Astrocyte,,,,0.5
CDKN2B,Endothelial,,,,5.4
CDKN2B,Excitatory Neuron,,,,0.14
CDKN2B,Inhibitory Neuron,,,,0.24
CDKN2B,Microglia,,,,3.9
CDKN2B,OPC,,,,1.55
CDKN2B,Oligodendrocyte,,,,0.7
CDKN2B,Pericyte/Vascular,,,,0.9
EGFR,Astrocyte,,,,391.65
EGFR,Endothelial,,,,273.8
EGFR,Excitatory Neuron,,,,3.0
EGFR,Inhibitory Neuron,,,,98.71
EGFR,Microglia,,,,3.4
EGFR,OPC,,,,141.35
EGFR,Oligodendrocyte,,,,1.9
EGFR,Pericyte/Vascular,,,,193.2
ETFA,Astrocyte,,,,93.2
ETFA,Endothelial,,,,95.4
ETFA,Excitatory Neuron,,,,42.85
ETFA,Inhibitory Neuron,,,,48.26
ETFA,Microglia,,,,112.0
ETFA,OPC,,,,61.05
ETFA,Oligodendrocyte,,,,64.0
ETFA,Pericyte/Vascular,,,,72.0
IDH1,Astrocyte,,,,74.75
IDH1,Endothelial,,,,19.3
IDH1,Excitatory Neuron,,,,28.15
IDH1,Inhibitory Neuron,,,,24.69
IDH1,Microglia,,,,57.0
IDH1,OPC,,,,71.2
IDH1,Oligodendrocyte,,,,29.1
IDH1,Pericyte/Vascular,,,,15.2
LRIG1,Astrocyte,,,,515.4
LRIG1,Endothelial,,,,78.3
LRIG1,Excitatory Neuron,,,,17.65
LRIG1,Inhibitory Neuron,,,,20.01
LRIG1,Microglia,,,,133.0
LRIG1,OPC,,,,60.8
LRIG1,Oligodendrocyte,,,,100.8
LRIG1,Pericyte/Vascular,,,,153.25
MAML2,Astrocyte,,,,1662.0
MAML2,Endothelial,,,,467.8
MAML2,Excitatory Neuron,,,,262.95
MAML2,Inhibitory Neuron,,,,191.26
MAML2,Microglia,,,,2209.9
MAML2,OPC,,,,2896.1
MAML2,Oligodendrocyte,,,,596.4
MAML2,Pericyte/Vascular,,,,1002.7
PHLDB1,Astrocyte,,,,54.9
PHLDB1,Endothelial,,,,74.7
PHLDB1,Excitatory Neuron,,,,13.63
PHLDB1,Inhibitory Neuron,,,,16.94
PHLDB1,Microglia,,,,7.0
PHLDB1,OPC,,,,246.2
PHLDB1,Oligodendrocyte,,,,392.0
PHLDB1,Pericyte/Vascular,,,,89.2
RTEL1,Astrocyte,,,,10.7
RTEL1,Endothelial,,,,9.2
RTEL1,Excitatory Neuron,,,,16.12
RTEL1,Inhibitory Neuron,,,,14.69
RTEL1,Microglia,,,,7.8
RTEL1,OPC,,,,9.95
RTEL1,Oligodendrocyte,,,,9.1
RTEL1,Pericyte/Vascular,,,,7.4
TERT,Astrocyte,,,,0.05
TERT,Endothelial,,,,0.0
TERT,Excitatory Neuron,,,,0.13
TERT,Inhibitory Neuron,,,,0.71
TERT,Microglia,,,,0.1
TERT,OPC,,,,0.05
TERT,Oligodendrocyte,,,,0.0
TERT,Pericyte/Vascular,,,,0.1
ZBTB16,Astrocyte,,,,238.7
ZBTB16,Endothelial,,,,807.9
ZBTB16,Excitatory Neuron,,,,126.91
ZBTB16,Inhibitory Neuron,,,,122.29
ZBTB16,Microglia,,,,38.4
ZBTB16,OPC,,,,163.0
ZBTB16,Oligodendrocyte,,,,220.4
ZBTB16,Pericyte/Vascular,,,,301.6
CCDC26,OPC,,,,0.0
CCDC26,Oligodendrocyte,,,,0.0
CCDC26,Astrocyte,,,,0.0
CCDC26,Microglia,,,,0.0
CCDC26,Excitatory Neuron,,,,0.0
CCDC26,Inhibitory Neuron,,,,0.0
CCDC26,Endothelial,,,,0.0
CCDC26,Pericyte/Vascular,,,,0.0
